# Data for device cDAQ1 sampled at 1024
# t | Mod8/ai0:2(bridge) | 
3.171875000000000000e+00 -1.517357224458783368e-03 -1.888016910165267329e-03 -1.888839648659536470e-03
3.172851562500000000e+00 -1.518041785504657551e-03 -1.887509111715386396e-03 -1.892153953147937247e-03
3.173828125000000000e+00 -1.518684001723485033e-03 -1.887191737424455786e-03 -1.889481356123241503e-03
3.174804687500000000e+00 -1.518189989320055649e-03 -1.888581130065207373e-03 -1.889770476801497625e-03
3.175781250000000000e+00 -1.518253505227606720e-03 -1.890330207741835848e-03 -1.885306717115443420e-03
3.176757812500000000e+00 -1.516926726830279161e-03 -1.891155375345294608e-03 -1.884841299138147359e-03
3.177734375000000000e+00 -1.516467999444646043e-03 -1.889928202522634000e-03 -1.884516916657437381e-03
3.178710937500000000e+00 -1.517159619035590929e-03 -1.890943794037276649e-03 -1.885990739726480740e-03
3.179687500000000000e+00 -1.518916893117252609e-03 -1.890788634354956818e-03 -1.886378587186383904e-03
3.180664062500000000e+00 -1.517124332344729981e-03 -1.889723673428417685e-03 -1.886745279055862621e-03
3.181640625000000000e+00 -1.517378396463819022e-03 -1.888947872661526136e-03 -1.889058252392756968e-03
3.182617187500000000e+00 -1.517604231128886951e-03 -1.888743343169563315e-03 -1.889883304338274171e-03
3.183593750000000000e+00 -1.517343109788266359e-03 -1.887227001244426655e-03 -1.889840994014942242e-03
3.184570312500000000e+00 -1.518740460253062636e-03 -1.887057734886070110e-03 -1.889417890586307398e-03
3.185546875000000000e+00 -1.518197046643511745e-03 -1.890414840378712999e-03 -1.887224798790403894e-03
3.186523437500000000e+00 -1.519883744117033917e-03 -1.892319070952020029e-03 -1.885497115255033900e-03
3.187500000000000000e+00 -1.516291565723677012e-03 -1.890372524062050455e-03 -1.885567633066262492e-03
3.188476562500000000e+00 -1.518408766301276944e-03 -1.891670222823850327e-03 -1.888409492649630039e-03
3.189453125000000000e+00 -1.517851237678003980e-03 -1.888602288299170420e-03 -1.885306717115443420e-03
3.190429687500000000e+00 -1.517173733711244020e-03 -1.890196206037722494e-03 -1.885567633066262492e-03
3.191406250000000000e+00 -1.516856153413495686e-03 -1.889928202522634000e-03 -1.888762079570123053e-03
3.192382812500000000e+00 -1.517336052452859536e-03 -1.888002804659677600e-03 -1.890108959336069721e-03
3.193359375000000000e+00 -1.517653632448389116e-03 -1.888750395912046657e-03 -1.889904459498608627e-03
3.194335937500000000e+00 -1.516609146376977088e-03 -1.886881415702345568e-03 -1.888480010053457522e-03
3.195312500000000000e+00 -1.517844180349708439e-03 -1.890450103973217956e-03 -1.887795990820103536e-03
3.196289062500000000e+00 -1.520257780867850317e-03 -1.891042531992069434e-03 -1.884643848957356536e-03
3.197265625000000000e+00 -1.517893581645704667e-03 -1.891141269927522871e-03 -1.884763729433488457e-03
3.198242187500000000e+00 -1.517067873634216600e-03 -1.889773042527722420e-03 -1.885123370690834198e-03
3.199218750000000000e+00 -1.518168817349093650e-03 -1.889935255248540759e-03 -1.886851055507105142e-03
3.200195312500000000e+00 -1.517837123021313584e-03 -1.891042531992069434e-03 -1.887711369819505564e-03
3.201171875000000000e+00 -1.518373479697822425e-03 -1.889053663745496629e-03 -1.885334924251772350e-03
3.202148437500000000e+00 -1.517286651102246623e-03 -1.889899991618020558e-03 -1.889488407849074323e-03
3.203125000000000000e+00 -1.517081988312437516e-03 -1.887276370588241315e-03 -1.890038442160109876e-03
3.204101562500000000e+00 -1.517314880446046657e-03 -1.887565533790633342e-03 -1.889375580223912315e-03
3.205078125000000000e+00 -1.517780664390602037e-03 -1.888355442181011189e-03 -1.887958181031545784e-03
3.206054687500000000e+00 -1.517695976432682000e-03 -1.890471262128737024e-03 -1.885539425942955047e-03
3.207031250000000000e+00 -1.517717148423495307e-03 -1.891945278110594795e-03 -1.885363131386522681e-03
3.208007812500000000e+00 -1.517688919102213501e-03 -1.889801253439440856e-03 -1.885341976035607818e-03
3.208984375000000000e+00 -1.519234472117241951e-03 -1.890774528926923107e-03 -1.885377234953306089e-03
3.209960937500000000e+00 -1.516369196568508482e-03 -1.887770063760465643e-03 -1.886851055507105142e-03
3.210937500000000000e+00 -1.518246447904940790e-03 -1.890513578437110626e-03 -1.889481356123241503e-03
3.211914062500000000e+00 -1.517554829804545341e-03 -1.887085945949743384e-03 -1.887126074176462753e-03
3.212890625000000000e+00 -1.517646575117327992e-03 -1.888820923331455603e-03 -1.889798683688059333e-03
3.213867187500000000e+00 -1.517258421756866255e-03 -1.887558481031572548e-03 -1.888952476404648752e-03
3.214843750000000000e+00 -1.518260562550174421e-03 -1.888066279431722646e-03 -1.887711369819505564e-03
3.215820312500000000e+00 -1.517484256475662039e-03 -1.888891450740997225e-03 -1.887647904059734519e-03
3.216796875000000000e+00 -1.519297987893240267e-03 -1.890471262128737024e-03 -1.885236199267715813e-03
3.217773437500000000e+00 -1.518888663863130189e-03 -1.889765989799546643e-03 -1.885779186440761888e-03
3.218750000000000000e+00 -1.518345250413280327e-03 -1.890033993400874095e-03 -1.885814445327880454e-03
3.219726562500000000e+00 -1.517187848386502029e-03 -1.891917067318860893e-03 -1.887062608343004775e-03
3.220703125000000000e+00 -1.518436995582263076e-03 -1.888778606880994271e-03 -1.884622693576256183e-03
3.221679687500000000e+00 -1.517794779048872332e-03 -1.889624935215302240e-03 -1.889114666244006042e-03
3.222656250000000000e+00 -1.517837123021313584e-03 -1.888200281702015482e-03 -1.889502511300443976e-03
3.223632812500000000e+00 -1.517935925609850039e-03 -1.888348389433002535e-03 -1.889502511300443976e-03
3.224609375000000000e+00 -1.517688919102213501e-03 -1.887502058955536303e-03 -1.890137166203691935e-03
3.225585937500000000e+00 -1.517865352334299292e-03 -1.888961978140671306e-03 -1.890468596780027922e-03
